"","Prestador_Codigo","ubigeo_censo_17","Anio_informacion","nomprest","nomdep","nomprov","nomdist","NOM_CCPP","POBTOTAL","VIVTOTAL","densidad_pob","Latitud","Longitud","brinda_agua","brinda_alca","brinda_tar","brinda_excretas","cob_agua","cob_alca","Conex_tot_agua","Conex_tot_alca","tipo_fuente","licenciadeuso","tipo_prestador","es_formal","cobra_cuota","monto_cuota","conti_estiaje_horas","conti_avenida_horas","conti_estiaje_dias","conti_avenida_dias","tiene_sistema_cloracion","realiza_cloracion","cloro_residual_uv","tipo_agua","cloro_residual_reservorio","Ubic_APC_EPES","fuente","ambito","Prestador_Codigo_aux","ambito_prest","cuentaconlicenciavertimiento","numubs","EPS1","dentro_ambito","SECTOR","NOMEP","COD_EP","COD_LOC","COD_SECTOR","ID_LOCALID","distancia_minima","dentro_ambito_prest","info","NOMEP2","Prestador_Codigo_aux_2","ubigeo_censo_17_aux","POBTOTAL_aux"
"1","P-09282-K2L7H",1601130017,2024,"JASS QUISTOCOCHA","LORETO","MAYNAS","SAN JUAN BAUTISTA","QUISTOCOCHA",2172,581,3.46619906661936,-3.82299905,-73.32617853,"Si","No","No","No",NA,NA,NA,NA,"Subterránea","Ninguna","OC","Si","Si",24,NA,NA,NA,NA,"Si","No",NA,"Bombeo sin tratamiento",NA,"Periurbano","SUNASS","PC","1601130017-1","PC",NA,NA,"EPS SEDALORETO S.A.","No",NA,NA,NA,NA,NA,NA,NA,"NO","Unico","EPS SEDALORETO S.A.","1601130017-1",1601130017,2172
"2","P-09285-D9S3N",1601130036,2024,"JASS VILLA BUEN PASTOR","LORETO","MAYNAS","SAN JUAN BAUTISTA","VILLA EL BUEN PASTOR",65,35,3.46619906661936,-3.94905989,-73.36246788,"Si","No","No","No",NA,NA,NA,NA,"Pluvial","Ninguna","OC","Si","No",NA,NA,NA,NA,NA,"No","No",NA,"Agua de lluvia",NA,"Lejano","SUNASS","Rural","1601130036-1","Rural",NA,NA,"EPS SEDALORETO S.A.","No",NA,NA,NA,NA,NA,NA,NA,"NO","Unico","EPS SEDALORETO S.A.","1601130036-1",1601130036,65
"3","P-09287-J0F8L",1601130026,2024,"JASS SAN JOSE","LORETO","MAYNAS","SAN JUAN BAUTISTA","SAN JOSE",123,40,3.46619906661936,-3.93173572,-73.39156817,"Si","No","No","No",NA,NA,NA,NA,"Pluvial","Ninguna","OC","Si","Si",NA,NA,NA,NA,NA,"No","No",NA,"Agua de lluvia",NA,"Lejano","SUNASS","Rural","1601130026-1","Rural",NA,NA,"EPS SEDALORETO S.A.","No",NA,NA,NA,NA,NA,NA,NA,"NO","Unico","EPS SEDALORETO S.A.","1601130026-1",1601130026,123
"4","P-09301-T7C9P",1601120049,2024,"ABASTECIMIENTO SIN PRESTADOR","LORETO","MAYNAS","BELEN","SAN JUAN DE MUNICH",147,40,4.1098719010898,-3.93563969,-73.32015978,NA,NA,NA,NA,NA,NA,NA,NA,"Superficial","Ninguna","Sin prestador",NA,NA,NA,NA,NA,NA,NA,"Si","No",NA,"Bombeo con tratamiento",NA,"Lejano","SUNASS","Rural","P-09301-T7C9P","Rural",NA,NA,"EPS SEDALORETO S.A.","No",NA,NA,NA,NA,NA,NA,NA,"NO","Ambos","EPS SEDALORETO S.A.","P-09301-T7C9P",1601120049,147
"5","P-09303-M2Z5F",501010047,2024,"JASS Santa Lucia","AYACUCHO","HUAMANGA","AYACUCHO","SANTA LUCIA",109,32,3.31633367799606,-13.16238667,-74.28556833,"Si","No","No","No",100,100,36,36,"Subterránea","Ninguna","OC","No","No",NA,2,4,7,7,"No","No",NA,"Gravedad sin tratamiento",0,"Cercano","SUNASS","Rural","P-09303-M2Z5F","Rural",NA,NA,"SEDA AYACUCHO S.A.","No",NA,NA,NA,NA,NA,NA,NA,"NO","Ambos","SEDA AYACUCHO S.A.","P-09303-M2Z5F",501010047,109
"6","P-09095-F6H6W",501040014,2024,"JASS Casaorcco","AYACUCHO","HUAMANGA","CARMEN ALTO","CASAORQO",237,90,2.85316097758029,-13.22066793,-74.22901847,"Si","Si","Si","No",83.33,44.44,75,40,"Superficial","Ninguna","OC","No","Si",4,24,24,7,7,"Si","No",NA,"Gravedad con tratamiento",0,"Periurbano","SUNASS","Rural","P-09095-F6H6W","Rural","Ninguna",NA,"SEDA AYACUCHO S.A.","No",NA,NA,NA,NA,NA,NA,NA,"NO","Ambos","SEDA AYACUCHO S.A.","P-09095-F6H6W",501040014,237
"7","P-09240-W3M1C",501130002,2024,"JASS Muyurina","AYACUCHO","HUAMANGA","TAMBILLO","MUYURINA",272,97,2.6028880866426,-13.11429833,-74.19318167,"Si","Si","Si","No",100,100,152,140,"Subterránea","Todas","OC","Si","Si",NA,7,7,7,7,"Si","Si",0.8,"Gravedad sin tratamiento",1.4,"Periurbano","SUNASS","Rural","P-09240-W3M1C","Rural","Ninguna",NA,"SEDA AYACUCHO S.A.","No",NA,NA,NA,NA,NA,NA,NA,"NO","Ambos","SEDA AYACUCHO S.A.","P-09240-W3M1C",501130002,272
"8","P-09215-W9C8B",501130032,2024,"JASS TANCAYLLO","AYACUCHO","HUAMANGA","TAMBILLO","TANCAYLLO",36,20,2.6028880866426,-13.210665,-74.18961667,"Si","No","No","No",100,NA,68,NA,"Mixta","Todas","OC","No","Si",5,16,24,7,7,"Si","Si",0.2,"Mixto",0.73,"Periurbano","SUNASS","Rural","P-09215-W9C8B","Rural",NA,"25","SEDA AYACUCHO S.A.","No",NA,NA,NA,NA,NA,NA,NA,"NO","Ambos","SEDA AYACUCHO S.A.","P-09215-W9C8B",501130032,36
"9","P-09119-V1K9N",501040004,2024,"JASS Campanayocc","AYACUCHO","HUAMANGA","CARMEN ALTO","CAMPANAYOCC",96,51,2.85316097758029,-13.20885386,-74.24958768,"Si","No","No","No",94.12,0,48,0,"Subterránea","Todas","OC","No","Si",2,24,24,7,7,"Si","No",NA,"Gravedad sin tratamiento",0,"Ambito de la EP","SUNASS","Rural","P-09119-V1K9N","Rural",NA,"35","SEDA AYACUCHO S.A.","No",NA,NA,NA,NA,NA,NA,NA,"NO","Ambos","SEDA AYACUCHO S.A.","P-09119-V1K9N",501040004,96
"10","P-09344-G0N8H",501140094,2024,"JASS Casacancha","AYACUCHO","HUAMANGA","VINCHOS","CASACANCHA",514,246,2.01091445427729,-13.31252333,-74.33948333,"Si","No","No","No",36.59,0,90,0,"Subterránea","Algunas","OC","No","Si",12,24,24,7,7,"Si","Si",0.6,"Gravedad sin tratamiento",0.3,"Lejano","SUNASS","Rural","P-09344-G0N8H","Rural",NA,"10","SEDA AYACUCHO S.A.","No",NA,NA,NA,NA,NA,NA,NA,"NO","Ambos","SEDA AYACUCHO S.A.","P-09344-G0N8H",501140094,514
