N.,DEPA,ODS,Nombre_EPS,ID.EPS,Localidad,ID.Localidad,Ubigeo.CCPP,CCPP,ID.Reservorio,Nombre_Reservorio,X..Este....UTM,Y..Norte....UTM,Zona...UTM,Altitud,Tipo.de.Reservorio,Estado.Operativo,Observación,Antigüedad..Años.,Volumen.Reservorio..m3.,Material,Cuenta.con.tapa,Cerco.Protección,Foto_panoramica,Foto_tapa,Foto_estado,Fecha.de.fotos,Foto.Propia.de.ODS.o.de.EPS,X,Y
1,TACNA,TACNA,EPS TACNA S.A.,12,TACNA,12001,230103,Calana,NA,R-1,372296.599668594,8011369.14907292,19K,726,Semi-enterrado,Opera Limitado,"Tapa sanitaria corroida y tubo de ventilacion oxidado y desprendido del techo del reservorio, dejando expuesto el mismo a la interperie",50,2000,Concreto,Si,Si,https://sunassgobpe-my.sharepoint.com/personal/alazaro_sunass_gob_pe/Documents/Equipo%20ADP/Infraestructura%20EPS/1.%20Reservorio/22.-TACNA/EPS%20TACNA%20S.A/Panoramica%20R-1.jpeg,https://sunassgobpe-my.sharepoint.com/personal/alazaro_sunass_gob_pe/Documents/Equipo%20ADP/Infraestructura%20EPS/1.%20Reservorio/22.-TACNA/EPS%20TACNA%20S.A/Foto%20Tapa%20R-1.jpeg,https://sunassgobpe-my.sharepoint.com/personal/alazaro_sunass_gob_pe/Documents/Equipo%20ADP/Infraestructura%20EPS/1.%20Reservorio/22.-TACNA/EPS%20TACNA%20S.A/Foto%20estado%20R-1.jpeg,45478,ODS,-17.9821967,-70.2061189
2,TACNA,TACNA,EPS TACNA S.A.,12,TACNA,12001,230101,Tacna,NA,R-7,369724.065336496,8009291.26340856,19K,632,Apoyado,Opera Limitado,"Cobertura de Eternit (Fibracemento) antiguo y regular estado de conservacion. Fue acondicionado como reservorio, su finalidad original fue decantador",90,3500,Concreto,No,Si,https://sunassgobpe-my.sharepoint.com/personal/alazaro_sunass_gob_pe/Documents/Equipo%20ADP/Infraestructura%20EPS/1.%20Reservorio/22.-TACNA/EPS%20TACNA%20S.A/Panoramica%20R-7.jpeg,https://sunassgobpe-my.sharepoint.com/personal/alazaro_sunass_gob_pe/Documents/Equipo%20ADP/Infraestructura%20EPS/1.%20Reservorio/22.-TACNA/EPS%20TACNA%20S.A/Foto%20Puerta%20R-7.jpeg,https://sunassgobpe-my.sharepoint.com/personal/alazaro_sunass_gob_pe/Documents/Equipo%20ADP/Infraestructura%20EPS/1.%20Reservorio/22.-TACNA/EPS%20TACNA%20S.A/Foto%20estado%20R-7.jpeg,45478,ODS,-18.000821,-70.2305418
3,TACNA,TACNA,EPS TACNA S.A.,12,TACNA,12001,230110,Gregorio Albarracin Lanchipa,NA,R-15,368816.161670955,8004057.17976611,19K,503,Apoyado,Opera Limitado,Tapa sanitaria oxidada y expuesta a palomas,15,2000,Concreto,Si,Si,https://sunassgobpe-my.sharepoint.com/personal/alazaro_sunass_gob_pe/Documents/Equipo%20ADP/Infraestructura%20EPS/1.%20Reservorio/22.-TACNA/EPS%20TACNA%20S.A/Panoramica%20R-15.jpeg,https://sunassgobpe-my.sharepoint.com/personal/alazaro_sunass_gob_pe/Documents/Equipo%20ADP/Infraestructura%20EPS/1.%20Reservorio/22.-TACNA/EPS%20TACNA%20S.A/Foto%20Tapa%20R-15.jpeg,https://sunassgobpe-my.sharepoint.com/personal/alazaro_sunass_gob_pe/Documents/Equipo%20ADP/Infraestructura%20EPS/1.%20Reservorio/22.-TACNA/EPS%20TACNA%20S.A/Foto%20estado%20R-15.jpeg,45478,ODS,-18.0480641,-70.239447
4,LAMBAYEQUE,LAMBAYEQUE,EPSEL S.A.,029,CHICLAYO,CHICLAYO,140101,J.L. Ortiz,NA,R-1 Norte,627644.960995602,9253260.94991816,17M,27,Elevado,Opera Normal,Con tapa sanitaria,45,3000,Concreto,Si,Si,https://sunassgobpe-my.sharepoint.com/personal/alazaro_sunass_gob_pe/Documents/Equipo%20ADP/Infraestructura%20EPS/1.%20Reservorio/14.-LAMBAYEQUE/EPSEL%20S.A/PANOR%C3%81MICO_RESERVORIO%20NORTE%20R1_J.L.O.jpg,https://sunassgobpe-my.sharepoint.com/personal/alazaro_sunass_gob_pe/Documents/Equipo%20ADP/Infraestructura%20EPS/1.%20Reservorio/14.-LAMBAYEQUE/EPSEL%20S.A/TAPA_RESERVORIO%20NORTE%20N%C2%B0%201_1.png,https://sunassgobpe-my.sharepoint.com/personal/alazaro_sunass_gob_pe/Documents/Equipo%20ADP/Infraestructura%20EPS/1.%20Reservorio/14.-LAMBAYEQUE/EPSEL%20S.A/RESERVORIO%20NORTE%20R-1_J.L.O..jfif,45478,ODS,-6.7543,-79.845
5,LAMBAYEQUE,LAMBAYEQUE,EPSEL S.A.,029,CHICLAYO,CHICLAYO,140101,J.L. Ortiz,NA,R-2 Norte,627644.882340187,9253227.77970083,17M,26,Elevado,Opera Normal,Con tapa sanitaria,13,3000,Concreto,Si,Si,https://sunassgobpe-my.sharepoint.com/personal/alazaro_sunass_gob_pe/Documents/Equipo%20ADP/Infraestructura%20EPS/1.%20Reservorio/14.-LAMBAYEQUE/EPSEL%20S.A/PANOR%C3%81MICO_RESERVORIO%20NORTE%20R2_J.L.O.jpg,https://sunassgobpe-my.sharepoint.com/personal/alazaro_sunass_gob_pe/Documents/Equipo%20ADP/Infraestructura%20EPS/1.%20Reservorio/14.-LAMBAYEQUE/EPSEL%20S.A/TAPA_RESERVORIO%20NORTE%20N%C2%B0%202.png,https://sunassgobpe-my.sharepoint.com/personal/alazaro_sunass_gob_pe/Documents/Equipo%20ADP/Infraestructura%20EPS/1.%20Reservorio/14.-LAMBAYEQUE/EPSEL%20S.A/RESERVORIO%20NORTE%20R-2_J.L.O..jfif,45478,ODS,-6.7546,-79.845
6,LAMBAYEQUE,LAMBAYEQUE,EPSEL S.A.,029,CHICLAYO,CHICLAYO,140101,La Victoria,NA,R Sur,628963.329707255,9249929.69424763,17M,27,Elevado,Opera Limitado,Techo desplomado,45,3000,Concreto,No,Si,https://sunassgobpe-my.sharepoint.com/personal/alazaro_sunass_gob_pe/Documents/Equipo%20ADP/Infraestructura%20EPS/1.%20Reservorio/14.-LAMBAYEQUE/EPSEL%20S.A/PANOR%C3%81MICA_RESERVORIO%20SUR.jpg,https://sunassgobpe-my.sharepoint.com/personal/alazaro_sunass_gob_pe/Documents/Equipo%20ADP/Infraestructura%20EPS/1.%20Reservorio/14.-LAMBAYEQUE/EPSEL%20S.A/TAPA_RESERVORIO%20SUR.png,https://sunassgobpe-my.sharepoint.com/personal/alazaro_sunass_gob_pe/Documents/Equipo%20ADP/Infraestructura%20EPS/1.%20Reservorio/14.-LAMBAYEQUE/EPSEL%20S.A/RESERVORIO%20SUR_LA%20VICTORIA.jpeg,45478,ODS,-6.7844,-79.833
7,LAMBAYEQUE,LAMBAYEQUE,EPSEL S.A.,029,CHICLAYO,CHICLAYO,140101,Chiclayo,NA,Cisterna Puertas del Sol,628963.22327211,9249885.46705499,17M,27.7540025,Semi-enterrado,Opera Normal,Con tapa sanitaria,16,200,Concreto,Si,Si,https://sunassgobpe-my.sharepoint.com/personal/alazaro_sunass_gob_pe/Documents/Equipo%20ADP/Infraestructura%20EPS/1.%20Reservorio/14.-LAMBAYEQUE/EPSEL%20S.A/PANOR%C3%81MICO_CISTERNA%20PUERTAS%20EL%20SOL.jpg,https://sunassgobpe-my.sharepoint.com/personal/alazaro_sunass_gob_pe/Documents/Equipo%20ADP/Infraestructura%20EPS/1.%20Reservorio/14.-LAMBAYEQUE/EPSEL%20S.A/TAPA_CISTERNA%20PUERTAS%20EL%20SOL.png,https://sunassgobpe-my.sharepoint.com/personal/alazaro_sunass_gob_pe/Documents/Equipo%20ADP/Infraestructura%20EPS/1.%20Reservorio/14.-LAMBAYEQUE/EPSEL%20S.A/CISTERNA%20PUERTAS%20DEL%20SOL_CHICLAYO.jpeg,45478,ODS,-6.7848,-79.833
8,LAMBAYEQUE,LAMBAYEQUE,EPSEL S.A.,029,CHICLAYO,CHICLAYO,140101,Chiclayo,NA,R Diego Ferré,627639.394117874,9250916.9202635,17M,26,Elevado,Opera Normal,Con tapa sanitaria,60,2000,Concreto,Si,No,https://sunassgobpe-my.sharepoint.com/personal/alazaro_sunass_gob_pe/Documents/Equipo%20ADP/Infraestructura%20EPS/1.%20Reservorio/14.-LAMBAYEQUE/EPSEL%20S.A/PANOR%C3%81MICO_RESERVORIO%20DIEGO%20FERR%C3%89.jpg,https://sunassgobpe-my.sharepoint.com/personal/alazaro_sunass_gob_pe/Documents/Equipo%20ADP/Infraestructura%20EPS/1.%20Reservorio/14.-LAMBAYEQUE/EPSEL%20S.A/TAPA_RESERVORIO%20DIEGO%20FERRE.png,https://sunassgobpe-my.sharepoint.com/personal/alazaro_sunass_gob_pe/Documents/Equipo%20ADP/Infraestructura%20EPS/1.%20Reservorio/14.-LAMBAYEQUE/EPSEL%20S.A/RESERVORIO%20DIEGO%20FERRE_CHICLAYO.jpeg,45478,ODS,-6.7755,-79.845
10,LAMBAYEQUE,LAMBAYEQUE,EPSEL S.A.,029,CHICLAYO,CHICLAYO,140101,Chiclayo,NA,R. Oeste,624657.4160511,9251863.75026213,17M,50,Apoyado,Opera Normal,Con tapa sanitaria,22,5000,Concreto,Si,No,https://sunassgobpe-my.sharepoint.com/personal/alazaro_sunass_gob_pe/Documents/Equipo%20ADP/Infraestructura%20EPS/1.%20Reservorio/14.-LAMBAYEQUE/EPSEL%20S.A/PANOR%C3%81MICA_RESERVORIO%20OESTE.jpg,https://sunassgobpe-my.sharepoint.com/personal/alazaro_sunass_gob_pe/Documents/Equipo%20ADP/Infraestructura%20EPS/1.%20Reservorio/14.-LAMBAYEQUE/EPSEL%20S.A/TAPA_RESERVORIO%20APOYADO%20OESTE.png,https://sunassgobpe-my.sharepoint.com/personal/alazaro_sunass_gob_pe/Documents/Equipo%20ADP/Infraestructura%20EPS/1.%20Reservorio/14.-LAMBAYEQUE/EPSEL%20S.A/RESERVORIO%20APOYADO%20OESTE.jpeg,45478,ODS,-6.767,-79.872
11,LAMBAYEQUE,LAMBAYEQUE,EPSEL S.A.,029,CHICLAYO,CHICLAYO,140101,Chiclayo,NA,R. Nvo Cerropón,624542.527687317,9249984.37727923,17M,68,Apoyado,Opera Normal,Con tapa sanitaria,13,400,Concreto,Si,No,https://sunassgobpe-my.sharepoint.com/personal/alazaro_sunass_gob_pe/Documents/Equipo%20ADP/Infraestructura%20EPS/1.%20Reservorio/14.-LAMBAYEQUE/EPSEL%20S.A/PANORAMICA_RESERVORIO%20NUEVO%20CERROPON.jpeg,https://sunassgobpe-my.sharepoint.com/personal/alazaro_sunass_gob_pe/Documents/Equipo%20ADP/Infraestructura%20EPS/1.%20Reservorio/14.-LAMBAYEQUE/EPSEL%20S.A/TAPA_RESERVORIO%20NUEVO%20CERROPON.png,https://sunassgobpe-my.sharepoint.com/personal/alazaro_sunass_gob_pe/Documents/Equipo%20ADP/Infraestructura%20EPS/1.%20Reservorio/14.-LAMBAYEQUE/EPSEL%20S.A/RESERVORIO%20NUEVO%20CERROPON.jpeg,45478,ODS,-6.784,-79.873
11,LAMBAYEQUE,LAMBAYEQUE,EPSEL S.A.,029,CHICLAYO,CHICLAYO,140101,Chiclayo,NA,R. Parque Industrial,623991.120189401,9250505.32007766,17M,25,Elevado,Opera Normal,Con tapa sanitaria,36,500,Concreto,Si,Si,https://sunassgobpe-my.sharepoint.com/personal/alazaro_sunass_gob_pe/Documents/Equipo%20ADP/Infraestructura%20EPS/1.%20Reservorio/14.-LAMBAYEQUE/EPSEL%20S.A/PANOR%C3%81MICO_PARQUE%20INDUSTRIAL.jpg,https://sunassgobpe-my.sharepoint.com/personal/alazaro_sunass_gob_pe/Documents/Equipo%20ADP/Infraestructura%20EPS/1.%20Reservorio/14.-LAMBAYEQUE/EPSEL%20S.A/TAPA_RESERVORIO%20PARQUE%20INDUSTRIAL.png,https://sunassgobpe-my.sharepoint.com/personal/alazaro_sunass_gob_pe/Documents/Equipo%20ADP/Infraestructura%20EPS/1.%20Reservorio/14.-LAMBAYEQUE/EPSEL%20S.A/RESERVORIO%20PARQUE%20INDUSTRIAL.jpeg,45478,ODS,-6.7793,-79.878
13,HUANCAVELICA,HUANCAVELICA,EMAPA - HVCA S.A.,21,HUANCAVELICA,HUANCAVELICA,9001,HUANCAVELICA,R1700,Reservorio Cconchopata,501759,8587035,18S,3730,Apoyado,Opera Normal,Con tapa sanitaria,46,1700,Concreto,Si,Si,https://sunassgobpe-my.sharepoint.com/personal/alazaro_sunass_gob_pe/Documents/Equipo%20ADP/Infraestructura%20EPS/1.%20Reservorio/8.-HUANCAVELICA/EMAPA%20-%20HVCA%20S.A/Cconchopata.jpg,https://sunassgobpe-my.sharepoint.com/personal/alazaro_sunass_gob_pe/Documents/Equipo%20ADP/Infraestructura%20EPS/1.%20Reservorio/8.-HUANCAVELICA/EMAPA%20-%20HVCA%20S.A/IMG-20240705-WA0027.jpg,https://sunassgobpe-my.sharepoint.com/personal/alazaro_sunass_gob_pe/Documents/Equipo%20ADP/Infraestructura%20EPS/1.%20Reservorio/8.-HUANCAVELICA/EMAPA%20-%20HVCA%20S.A/IMG-20240430-WA0436.jpg,45478,EPS,-12.78142874,-74.98379332
14,HUANCAVELICA,HUANCAVELICA,EMAPA - HVCA S.A.,21,HUANCAVELICA,HUANCAVELICA,9001,HUANCAVELICA,R1000,Reservorio Ichu,500082,8588131,18S,3810,Apoyado,Opera Normal,Con tapa sanitaria,17,1000,Concreto,Si,Si,https://sunassgobpe-my.sharepoint.com/personal/alazaro_sunass_gob_pe/Documents/Equipo%20ADP/Infraestructura%20EPS/1.%20Reservorio/8.-HUANCAVELICA/EMAPA%20-%20HVCA%20S.A/IMG-20240430-WA0488.jpg,https://sunassgobpe-my.sharepoint.com/personal/alazaro_sunass_gob_pe/Documents/Equipo%20ADP/Infraestructura%20EPS/1.%20Reservorio/8.-HUANCAVELICA/EMAPA%20-%20HVCA%20S.A/IMG-20240705-WA0024.jpg,https://sunassgobpe-my.sharepoint.com/personal/alazaro_sunass_gob_pe/Documents/Equipo%20ADP/Infraestructura%20EPS/1.%20Reservorio/8.-HUANCAVELICA/EMAPA%20-%20HVCA%20S.A/IMG-20240430-WA0483.jpg,45478,ODS,-12.77151825,-74.99924452
14,PIURA,PIURA,EPS GRAU S.A. ,032,AMOTAPE,32018,2005020001,AMOTAPE,R031,Reservorio Amotape,498488.57,9460329.22,17M,36,Apoyado,Opera Normal,Con tapa sanitaria,14,100,Concreto,Si,No,https://sunassgobpe-my.sharepoint.com/personal/alazaro_sunass_gob_pe/Documents/Equipo%20ADP/Infraestructura%20EPS/1.%20Reservorio/19.-PIURA/EPS%20GRAU%20S.A/15.%20Reservorio%20Amotape/15..jpg,NA,NA,45217,EPS,-4.882452221,-81.2301363198
15,PIURA,PIURA,EPS GRAU S.A. ,032,EL ALTO,32024,2007020001,EL ALTO,R-3014,Reservorio 3014 (Villa FAP),470786.79,9493589.23,17M,33,Apoyado,Opera Normal,Con tapa sanitaria,72,3000,Concreto,Si,Si,https://sunassgobpe-my.sharepoint.com/personal/alazaro_sunass_gob_pe/Documents/Equipo%20ADP/Infraestructura%20EPS/1.%20Reservorio/19.-PIURA/EPS%20GRAU%20S.A/16.%20Reservorio%203014%20(Villa%20FAP)/16..jpg,NA,NA,45349,EPS,-4.581510666,-81.26336675
16,PIURA,PIURA,EPS GRAU S.A. ,032,CASTILLA,32028,2001040001,CASTILLA,R6,Reservorio La Granja,544527.04,9426189.32,17M,36,Elevado,Opera Normal,Con tapa sanitaria,12,3000,Concreto,Si,No,https://sunassgobpe-my.sharepoint.com/personal/alazaro_sunass_gob_pe/Documents/Equipo%20ADP/Infraestructura%20EPS/1.%20Reservorio/19.-PIURA/EPS%20GRAU%20S.A/17.%20Reservorio%20La%20Granja/17..jpg,NA,NA,45347,EPS,-5.191175038,-80.59821295
