N.,DEPA,ODS,Nombre_EPS,ID.EPS,Localidad,ID.Localidad,Ubigeo.CCPP,CCPP,ID.Reservorio,Nombre_Reservorio,X..Este....UTM,Y..Norte....UTM,Zona...UTM,Altitud,Tipo.de.Reservorio,Estado.Operativo,Observación,Antigüedad..Años.,Volumen.Reservorio..m3.,Material,Cuenta.con.tapa,Cerco.Protección,Foto_panoramica,Foto_tapa,Foto_estado,Fecha.de.fotos,Foto.Propia.de.ODS.o.de.EPS,X,Y
1,TACNA,TACNA,EPS TACNA S.A.,12,TACNA,12001,230103,Calana,NA,R-1,-17.9821967,-70.2061189,19K,726,Semi-enterrado,Opera Limitado,"Tapa sanitaria corroida y tubo de ventilacion oxidado y desprendido del techo del reservorio, dejando expuesto el mismo a la interperie",50,2000,Concreto,Si,Si,https://sunassgobpe-my.sharepoint.com/personal/alazaro_sunass_gob_pe/Documents/Equipo%20ADP/Infraestructura%20EPS/1.%20Reservorio/22.-TACNA/EPS%20TACNA%20S.A/Panoramica%20R-1.jpeg,https://raw.githubusercontent.com/HermanMoreno98/DATA_DASH/main/EPS%20TACNA%20S.A/Foto%20Tapa%20R-1.jpeg,https://raw.githubusercontent.com/HermanMoreno98/DATA_DASH/main/EPS%20TACNA%20S.A/Foto%20estado%20R-1.jpeg,2024-07-05,ODS,-17.9821967,-70.2061189
2,TACNA,TACNA,EPS TACNA S.A.,12,TACNA,12001,230101,Tacna,NA,R-4,-18.0014893,-70.2330915,19K,625,Apoyado,Opera Limitado,Cobertura de Policarbonato que requiere mantenimiento ,82,4000,Concreto,No,Si,https://raw.githubusercontent.com/HermanMoreno98/DATA_DASH/main/EPS%20TACNA%20S.A/Panoramica%20R-4.jpeg,NA,NA,2024-07-05,ODS,-18.0014893,-70.2330915
3,TACNA,TACNA,EPS TACNA S.A.,12,TACNA,12001,230101,Tacna,NA,R-7,-18.000821,-70.2305418,19K,632,Apoyado,Opera Limitado,"Cobertura de Eternit (Fibracemento) antiguo y regular estado de conservacion. Fue acondicionado como reservorio, su finalidad original fue decantador",90,3500,Concreto,No,Si,https://raw.githubusercontent.com/HermanMoreno98/DATA_DASH/main/EPS%20TACNA%20S.A/Panoramica%20R-7.jpeg,https://raw.githubusercontent.com/HermanMoreno98/DATA_DASH/main/EPS%20TACNA%20S.A/Foto%20Puerta%20R-7.jpeg,https://raw.githubusercontent.com/HermanMoreno98/DATA_DASH/main/EPS%20TACNA%20S.A/Foto%20estado%20R-7.jpeg,2024-07-05,ODS,-18.000821,-70.2305418
4,TACNA,TACNA,EPS TACNA S.A.,12,TACNA,12001,230110,Gregorio Albarracin Lanchipa,NA,R-15,-18.0480641,-70.239447,19K,503,Apoyado,Opera Limitado,Tapa sanitaria oxidada y expuesta a palomas,15,2000,Concreto,Si,Si,https://raw.githubusercontent.com/HermanMoreno98/DATA_DASH/main/EPS%20TACNA%20S.A/Panoramica%20R-15.jpeg,https://raw.githubusercontent.com/HermanMoreno98/DATA_DASH/main/EPS%20TACNA%20S.A/Foto%20Tapa%20R-15.jpeg,https://raw.githubusercontent.com/HermanMoreno98/DATA_DASH/main/EPS%20TACNA%20S.A/Foto%20estado%20R-15.jpeg,2024-07-05,ODS,-18.0480641,-70.239447
5,LAMBAYEQUE,LAMBAYEQUE,EPSEL S.A.,029,CHICLAYO,CHICLAYO,140101,J.L. Ortiz,NA,R-1 Norte,-6.7543,-79.845,17M,27,Elevado,Opera Normal,Con tapa sanitaria,45,3000,Concreto,Si,Si,https://raw.githubusercontent.com/HermanMoreno98/DATA_DASH/main/EPSEL%20S.A/PANORA%CC%81MICO_RESERVORIO%20NORTE%20R1_J.L.O.jpg,https://raw.githubusercontent.com/HermanMoreno98/DATA_DASH/main/EPSEL%20S.A/TAPA_RESERVORIO%20NORTE%20N%C2%B0%201_1.png,https://raw.githubusercontent.com/HermanMoreno98/DATA_DASH/main/EPSEL%20S.A/RESERVORIO%20NORTE%20R-1_J.L.O..jfif,2024-07-05,ODS,-6.7543,-79.845
6,LAMBAYEQUE,LAMBAYEQUE,EPSEL S.A.,029,CHICLAYO,CHICLAYO,140101,J.L. Ortiz,NA,R-2 Norte,-6.7546,-79.845,17M,26,Elevado,Opera Normal,Con tapa sanitaria,13,3000,Concreto,Si,Si,https://raw.githubusercontent.com/HermanMoreno98/DATA_DASH/main/EPSEL%20S.A/PANORA%CC%81MICO_RESERVORIO%20NORTE%20R2_J.L.O.jpg,https://raw.githubusercontent.com/HermanMoreno98/DATA_DASH/main/EPSEL%20S.A/TAPA_RESERVORIO%20NORTE%20N%C2%B0%202.png,https://raw.githubusercontent.com/HermanMoreno98/DATA_DASH/main/EPSEL%20S.A/RESERVORIO%20NORTE%20R-2_J.L.O..jfif,2024-07-05,ODS,-6.7546,-79.845
7,LAMBAYEQUE,LAMBAYEQUE,EPSEL S.A.,029,CHICLAYO,CHICLAYO,140101,La Victoria,NA,R Sur,-6.7844,-79.833,17M,27,Elevado,Opera Limitado,Techo desplomado,45,3000,Concreto,No,Si,https://raw.githubusercontent.com/HermanMoreno98/DATA_DASH/main/EPSEL%20S.A/PANORA%CC%81MICA_RESERVORIO%20SUR.jpg,https://raw.githubusercontent.com/HermanMoreno98/DATA_DASH/main/EPSEL%20S.A/TAPA_RESERVORIO%20SUR.png,https://raw.githubusercontent.com/HermanMoreno98/DATA_DASH/main/EPSEL%20S.A/RESERVORIO%20SUR_LA%20VICTORIA.jpeg,2024-07-05,ODS,-6.7844,-79.833
8,LAMBAYEQUE,LAMBAYEQUE,EPSEL S.A.,029,CHICLAYO,CHICLAYO,140101,Chiclayo,NA,Cisterna Puertas del Sol,-6.7848,-79.833,17M,27.7540025,Semi-enterrado,Opera Normal,Con tapa sanitaria,16,200,Concreto,Si,Si,https://raw.githubusercontent.com/HermanMoreno98/DATA_DASH/main/EPSEL%20S.A/PANORA%CC%81MICO_CISTERNA%20PUERTAS%20EL%20SOL.jpg,https://raw.githubusercontent.com/HermanMoreno98/DATA_DASH/main/EPSEL%20S.A/TAPA_CISTERNA%20PUERTAS%20EL%20SOL.png,https://raw.githubusercontent.com/HermanMoreno98/DATA_DASH/main/EPSEL%20S.A/CISTERNA%20PUERTAS%20DEL%20SOL_CHICLAYO.jpeg,2024-07-05,ODS,-6.7848,-79.833
9,LAMBAYEQUE,LAMBAYEQUE,EPSEL S.A.,029,CHICLAYO,CHICLAYO,140101,Chiclayo,NA,R Diego Ferré,-67755,-79.845,17M,26,Elevado,Opera Normal,Con tapa sanitaria,60,2000,Concreto,Si,No,https://raw.githubusercontent.com/HermanMoreno98/DATA_DASH/main/EPSEL%20S.A/PANORA%CC%81MICO_RESERVORIO%20DIEGO%20FERRE%CC%81.jpg,https://raw.githubusercontent.com/HermanMoreno98/DATA_DASH/main/EPSEL%20S.A/TAPA_RESERVORIO%20DIEGO%20FERRE.png,https://raw.githubusercontent.com/HermanMoreno98/DATA_DASH/main/EPSEL%20S.A/RESERVORIO%20DIEGO%20FERRE_CHICLAYO.jpeg,2024-07-05,ODS,-6.7755,-79.845
10,LAMBAYEQUE,LAMBAYEQUE,EPSEL S.A.,029,CHICLAYO,CHICLAYO,140101,Chiclayo,NA,R. Oeste,-6.767,-79.872,17M,50,Apoyado,Opera Normal,Con tapa sanitaria,22,5000,Concreto,Si,No,https://raw.githubusercontent.com/HermanMoreno98/DATA_DASH/main/EPSEL%20S.A/PANORA%CC%81MICA_RESERVORIO%20OESTE.jpg,https://raw.githubusercontent.com/HermanMoreno98/DATA_DASH/main/EPSEL%20S.A/TAPA_RESERVORIO%20APOYADO%20OESTE.png,https://raw.githubusercontent.com/HermanMoreno98/DATA_DASH/main/EPSEL%20S.A/RESERVORIO%20APOYADO%20OESTE.jpeg,2024-07-05,ODS,-6.767,-79.872
